Name,Wins,Losses,Finishes,Country,Age,Team,Height
Allycia Hellen Rodrigues,5,1,2,Brazil,27,Phuket Fight Club,161
Chingiz “Chinga” Allazov,5,1,0,"Azerbaijan, Belarus",31,Gridin Gym,181
Jackie Buntan,7,2,1,United States,28,Boxing Works,162
Jonathan “The General” Haggerty,9,3,3,United Kingdom,28,Knowlesy Academy / Team Underground,170
Joseph “The Hurricane” Lasiri,3,3,0,"Italy, Morocco",34,Kick and Punch Milano,170
Nabil Anane,7,1,3,"Algeria, Thailand",21,Team Mehdi Zatout,195
Nong-O Hama,12,4,5,Thailand,38,Evolve MMA,171
Petchtanong Petchfergus,3,2,1,Thailand,39,Superbon Training Camp,174
“The Queen” Phetjeeja Lukjaoporongtom,7,0,4,Thailand,23,Team Mehdi Zatout,160
Prajanchai PK Saenchai,7,1,3,Thailand,30,PK Saenchai Muaythaigym,163
Regian “The Immortal” Eersel,13,1,4,Suriname,32,Sityodtong Amsterdam,189
Rodtang “The Iron Man” Jitmuangnon,17,2,4,Thailand,28,Jitmuangnon Gym,168
Roman Kryklia,7,0,6,Ukraine,33,Champ Belts,200
Smilla “The Hurricane” Sundell,5,0,3,Sweden,20,Fairtex Training Center,178
Stamp Fairtex,14,4,6,Thailand,27,Fairtex Training Center,157
Superbon,6,3,3,Thailand,35,Superbon Training Camp,177
“The Kicking Machine” Superlek Kiatmoo9,15,2,5,Thailand,29,Kiatmoo9 Gym,171
